client_id,date_time,clnt_tenure_mnth,clnt_age
357409,2017-04-05 01:06:00,749.0,51.0
7616896,2017-04-28 13:53:35,669.0,78.0
7616896,2017-04-28 13:53:35,669.0,78.0
3271450,2017-04-11 00:31:48,669.0,48.5
3271450,2017-04-11 00:35:38,669.0,48.5
5430117,2017-03-30 05:52:18,668.0,42.5
5430117,2017-03-30 06:02:15,668.0,42.5
5430117,2017-03-30 06:06:01,668.0,42.5
2354035,2017-04-21 12:13:08,668.0,72.0
2354035,2017-04-21 12:14:03,668.0,72.0
113022,2017-04-03 14:55:33,667.0,68.0
113022,2017-03-31 07:30:25,667.0,68.0
6833949,2017-04-05 18:25:26,661.0,52.5
5618665,2017-04-16 19:19:40,655.0,39.0
8924432,2017-04-07 20:42:16,631.0,68.5
8924432,2017-04-08 21:28:09,631.0,68.5
8924432,2017-04-10 15:52:10,631.0,68.5
3212621,2017-04-05 11:37:55,614.0,69.0
3212621,2017-04-05 11:31:56,614.0,69.0
1297324,2017-04-19 16:11:52,613.0,81.5
1297324,2017-04-05 17:59:16,613.0,81.5
202371,2017-04-05 09:34:10,613.0,60.5
202371,2017-04-05 09:32:51,613.0,60.5
1297324,2017-04-19 16:06:30,613.0,81.5
202371,2017-04-05 09:35:27,613.0,60.5
1297324,2017-04-05 17:07:08,613.0,81.5
202371,2017-04-05 09:33:46,613.0,60.5
9278592,2017-04-03 09:39:42,612.0,45.5
9278592,2017-04-03 09:40:30,612.0,45.5
8362413,2017-03-31 13:03:26,610.0,64.5
1258362,2017-04-05 11:33:45,610.0,55.5
3928970,2017-04-07 13:34:24,602.0,78.5
9998346,2017-03-29 15:25:00,602.0,61.5
4172429,2017-04-19 14:52:22,602.0,70.5
3928970,2017-04-02 19:14:17,602.0,78.5
4172429,2017-04-19 14:57:17,602.0,70.5
6796179,2017-04-06 15:11:50,602.0,70.5
3928970,2017-04-02 19:11:59,602.0,78.5
8339282,2017-03-29 16:33:51,596.0,71.5
7783003,2017-04-01 12:06:00,596.0,32.0
8849156,2017-04-19 14:32:26,589.0,79.0
8849156,2017-04-19 14:42:52,589.0,79.0
8849156,2017-04-05 09:38:24,589.0,79.0
9124539,2017-04-04 09:40:04,586.0,75.0
9124539,2017-04-14 12:56:36,586.0,75.0
9124539,2017-03-29 11:48:15,586.0,75.0
7226534,2017-04-28 11:34:29,585.0,71.0
7226534,2017-04-28 11:34:01,585.0,71.0
7226534,2017-04-28 11:34:01,585.0,71.0
7226534,2017-04-28 11:34:29,585.0,71.0
1076556,2017-03-29 13:10:30,576.0,66.5
1076556,2017-03-29 13:03:56,576.0,66.5
9120385,2017-04-12 19:36:33,576.0,43.0
7297910,2017-04-22 23:49:22,576.0,45.0
4128254,2017-04-11 14:08:55,576.0,44.5
4128254,2017-04-11 14:35:26,576.0,44.5
1076556,2017-03-29 13:05:12,576.0,66.5
8207265,2017-04-23 11:58:03,576.0,77.0
4055095,2017-04-06 10:41:54,576.0,64.5
8498010,2017-04-23 06:51:56,576.0,70.0
7297910,2017-04-22 23:51:09,576.0,45.0
2917506,2017-03-29 16:35:15,576.0,37.5
2319496,2017-04-05 11:17:51,576.0,42.5
1308328,2017-03-15 15:44:14,571.0,65.5
6208399,2017-04-14 17:29:55,569.0,36.5
7107386,2017-04-12 18:23:25,569.0,59.0
8517194,2017-03-29 11:19:18,569.0,38.5
8517194,2017-04-04 21:31:02,569.0,38.5
7107386,2017-04-12 18:12:52,569.0,59.0
5371570,2017-03-30 16:29:09,564.0,71.0
5371570,2017-03-30 16:24:45,564.0,71.0
6621477,2017-04-19 19:12:00,563.0,74.5
6608062,2017-03-26 19:33:26,562.0,62.0
4552154,2017-03-31 16:56:53,561.0,85.0
4552154,2017-04-19 00:52:54,561.0,85.0
6815257,2017-04-10 10:46:00,554.0,72.5
754987,2017-03-29 20:46:44,550.0,70.0
754987,2017-04-13 21:12:50,550.0,70.0
754987,2017-04-13 21:13:15,550.0,70.0
1313617,2017-03-31 11:04:29,535.0,61.5
1313617,2017-04-01 20:26:36,535.0,61.5
3502301,2017-04-13 17:36:11,526.0,33.5
60483,2017-04-05 13:15:13,516.0,52.5
2391446,2017-04-01 09:30:18,516.0,45.0
2406074,2017-03-15 18:06:39,516.0,73.5
5951041,2017-04-08 21:20:09,516.0,24.5
2448097,2017-03-30 08:20:51,512.0,60.0
3859749,2017-04-20 08:18:02,511.0,70.5
3859749,2017-04-27 12:26:42,511.0,70.5
3859749,2017-04-27 12:26:42,511.0,70.5
3859749,2017-04-27 12:23:29,511.0,70.5
3859749,2017-04-27 12:23:29,511.0,70.5
5584826,2017-03-29 12:46:20,509.0,62.0
5584826,2017-03-29 12:47:01,509.0,62.0
4062529,2017-03-29 16:42:45,507.0,65.5
4062529,2017-03-29 16:41:49,507.0,65.5
2470928,2017-04-03 16:59:19,507.0,76.0
2285566,2017-04-06 15:49:16,504.0,63.0
2488007,2017-04-05 14:23:53,492.0,78.0
7029015,2017-03-29 12:53:39,485.0,68.5
5743376,2017-04-15 12:04:28,485.0,66.5
628058,2017-04-07 17:51:14,484.0,62.5
4446745,2017-04-09 18:52:34,483.0,67.5
7350966,2017-04-12 12:15:45,482.0,65.0
5914420,2017-04-06 23:44:18,482.0,48.0
7296650,2017-03-15 11:47:51,481.0,64.5
2159337,2017-04-05 10:41:07,480.0,56.0
2159337,2017-04-05 10:40:36,480.0,56.0
1344813,2017-04-15 10:32:10,479.0,58.5
7411821,2017-04-09 08:53:01,479.0,56.5
7411821,2017-04-09 08:54:13,479.0,56.5
7411821,2017-04-08 13:33:47,479.0,56.5
7411821,2017-04-08 13:23:16,479.0,56.5
4884909,2017-04-08 13:47:52,475.0,67.5
922832,2017-04-03 13:55:18,473.0,71.0
922832,2017-04-03 13:54:59,473.0,71.0
922832,2017-04-03 13:55:25,473.0,71.0
922832,2017-04-03 14:00:30,473.0,71.0
7920414,2017-03-30 12:57:54,472.0,59.5
7920414,2017-03-30 13:03:48,472.0,59.5
7920414,2017-03-30 12:59:03,472.0,59.5
7920414,2017-03-30 12:57:00,472.0,59.5
9554608,2017-04-25 16:11:17,472.0,84.0
9554608,2017-04-18 13:34:29,472.0,84.0
3398321,2017-04-02 09:27:24,468.0,86.0
3384291,2017-03-29 11:12:40,468.0,61.5
9265119,2017-04-03 09:33:38,466.0,75.5
3969217,2017-04-05 17:52:57,466.0,69.5
3969217,2017-04-05 17:50:27,466.0,69.5
3969217,2017-04-05 17:51:24,466.0,69.5
5421613,2017-04-09 10:35:07,466.0,56.5
3931183,2017-04-05 18:05:47,465.0,68.5
7354807,2017-04-05 08:37:21,465.0,65.5
8348121,2017-04-22 19:28:39,465.0,68.0
6752370,2017-03-15 05:42:59,464.0,22.0
1454516,2017-03-31 23:06:51,464.0,33.0
4221751,2017-04-08 17:15:17,464.0,58.0
4221751,2017-04-08 17:15:31,464.0,58.0
4221751,2017-04-08 17:17:10,464.0,58.0
7840357,2017-04-07 08:26:13,464.0,67.5
7840357,2017-04-07 08:22:45,464.0,67.5
750370,2017-04-12 11:40:42,464.0,61.0
7840357,2017-04-20 06:48:35,464.0,67.5
6752370,2017-03-15 05:43:13,464.0,22.0
6752370,2017-03-15 05:43:11,464.0,22.0
6752370,2017-03-15 05:43:08,464.0,22.0
7840357,2017-04-20 06:48:00,464.0,67.5
7840357,2017-04-14 07:46:39,464.0,67.5
7840357,2017-04-11 07:07:18,464.0,67.5
6752370,2017-03-15 05:37:35,464.0,22.0
6752370,2017-03-15 05:40:25,464.0,22.0
6752370,2017-03-15 05:41:38,464.0,22.0
1454516,2017-03-31 23:04:36,464.0,33.0
6752370,2017-03-15 05:42:42,464.0,22.0
8381023,2017-03-29 12:32:08,463.0,58.5
6938743,2017-03-29 11:37:58,463.0,62.0
6938743,2017-03-29 11:39:39,463.0,62.0
1368796,2017-04-12 12:29:20,463.0,71.0
8381023,2017-03-29 12:03:40,463.0,58.5
351792,2017-04-02 09:24:18,462.0,66.5
9690122,2017-04-18 11:55:07,462.0,72.0
9690122,2017-04-18 11:59:34,462.0,72.0
6838639,2017-04-05 15:00:45,461.0,64.5
6844346,2017-04-10 22:20:12,461.0,61.0
3176218,2017-03-29 11:08:50,461.0,55.5
8262544,2017-04-19 12:37:45,461.0,60.5
6844346,2017-04-10 22:18:55,461.0,61.0
8274332,2017-04-07 15:21:27,460.0,65.0
1760254,2017-04-09 00:20:30,460.0,60.5
7818094,2017-04-04 17:57:50,460.0,66.0
8685085,2017-03-29 11:23:34,459.0,85.0
8685085,2017-04-26 10:12:45,459.0,85.0
8685085,2017-04-26 10:12:46,459.0,85.0
8685085,2017-04-26 10:10:52,459.0,85.0
2423250,2017-04-01 08:19:08,459.0,83.5
8685085,2017-04-26 10:10:52,459.0,85.0
8685085,2017-04-03 10:25:28,459.0,85.0
9791537,2017-04-09 15:45:47,459.0,71.0
9791537,2017-04-09 15:46:07,459.0,71.0
8685085,2017-04-12 09:24:08,459.0,85.0
8188609,2017-04-05 11:08:06,456.0,68.5
6618656,2017-04-09 13:29:59,455.0,75.0
6618656,2017-04-12 18:29:04,455.0,75.0
6618656,2017-04-12 18:12:04,455.0,75.0
7879942,2017-04-01 08:58:51,454.0,78.0
8078495,2017-04-07 11:19:30,454.0,91.5
4474326,2017-04-06 05:33:21,454.0,66.5
4532705,2017-03-29 12:46:34,454.0,69.5
8078495,2017-03-31 11:42:37,454.0,91.5
4474326,2017-04-06 05:55:18,454.0,66.5
4474326,2017-04-08 10:39:51,454.0,66.5
1879188,2017-03-29 13:49:03,454.0,63.5
4474326,2017-04-06 05:54:39,454.0,66.5
8078495,2017-03-31 11:40:46,454.0,91.5
4474326,2017-04-06 05:50:05,454.0,66.5
8078495,2017-03-31 11:43:05,454.0,91.5
7088127,2017-03-22 13:43:20,454.0,63.5
7088127,2017-03-24 15:06:00,454.0,63.5
4474326,2017-04-08 10:40:21,454.0,66.5
328027,2017-04-03 15:30:49,453.0,63.5
4963858,2017-04-06 09:21:27,453.0,67.0
4963858,2017-04-06 09:19:33,453.0,67.0
6425760,2017-03-29 12:34:09,453.0,63.5
6425760,2017-03-26 09:51:49,453.0,63.5
7718345,2017-04-13 20:32:57,451.0,36.5
2901140,2017-04-12 10:17:47,451.0,58.5
6243234,2017-04-13 10:33:44,450.0,54.5
6243234,2017-04-13 10:35:55,450.0,54.5
6243234,2017-04-13 10:35:22,450.0,54.5
6243234,2017-04-13 10:33:57,450.0,54.5
6243234,2017-03-29 16:58:03,450.0,54.5
